States,Area,Population,Density,Gender_Ratio,Zone,Nominal GDP
Uttar Pradesh,240928.0,199812341.0,828.0,0.879,central zone,220 Billion USD
Maharashtra,307713.0,112372972.0,365.0,0.878,western zone,420 Billion USD
Bihar,94163.0,103804637.0,1102.0,0.9159999999999999,eastern zone,80 Billion USD
West Bengal,88752.0,91347736.0,1029.0,0.951,eastern zone,180 Billion USD
Madhya Pradesh,308245.0,72597565.0,236.0,0.919,central zone,130 Billion USD
Tamil Nadu,130058.0,72138958.0,555.0,0.9109999999999999,southern zone,260 Billion USD
Rajasthan,342239.0,68621012.0,201.0,0.861,northern zone,130 Billion USD
Karnataka,191791.0,61130704.0,319.0,0.9390000000000001,southern zone,220 Billion USD
Gujrat,196024.0,60383628.0,308.0,0.8540000000000001,western zone,240 Billion USD
Andhra Pradesh,162968.0,49386799.0,303.0,0.9179999999999999,southern zone,150 Billion USD
